Case,Date,State,County,Case Count
NO.42822,2020-03-23,TX,Harris,1
NO.42821,2020-03-23,TX,Harris,1
NO.42820,2020-03-23,TX,Harris,1
NO.42819,2020-03-23,NC,Wilson,1
NO.42815-42818,2020-03-23,TX,Bell,3
NO.42814,2020-03-23,CT,Windham,1
NO.42812-42813,2020-03-23,CT,Tolland,1
NO.42811,2020-03-23,CT,New London,1
NO.42799-42810,2020-03-23,CT,New Haven,11
NO.42798,2020-03-23,TX,Bell,1
NO.42796-42797,2020-03-23,CT,Middlesex,1
NO.42795,2020-03-23,CT,Litchfield,1
NO.42788-42794,2020-03-23,CT,Hartford,6
NO.42787,2020-03-23,TX,Bell,1
NO.42725-42786,2020-03-23,CT,Fairfield,61
NO.42822,2020-03-23,TX,Harris,1
NO.42821,2020-03-23,TX,Harris,1
NO.42820,2020-03-23,TX,Harris,1
NO.42819,2020-03-23,NC,Wilson,1
NO.42815-42818,2020-03-23,TX,Bell,3
NO.42814,2020-03-23,CT,Windham,1
NO.42812-42813,2020-03-23,CT,Tolland,1
NO.42811,2020-03-23,CT,New London,1
NO.42799-42810,2020-03-23,CT,New Haven,11
NO.42798,2020-03-23,TX,Bell,1
NO.42796-42797,2020-03-23,CT,Middlesex,1
NO.42795,2020-03-23,CT,Litchfield,1
NO.42788-42794,2020-03-23,CT,Hartford,6
NO.42787,2020-03-23,TX,Bell,1
NO.42725-42786,2020-03-23,CT,Fairfield,61
NO.42724,2020-03-23,TN,Blount,1
Death,2020-03-23,MA,Unassigned,1
NO.42723,2020-03-23,TN,Jefferson,1
NO.42722,2020-03-23,NC,Transylvania,1
NO.42715-42721,2020-03-23,TN,Out-of-state,6
NO.42714,2020-03-23,NC,Jackson,1
NO.42690-42713,2020-03-23,TN,Unknown,23
NO.42686-42689,2020-03-23,TN,Wilson,3
NO.42681-42685,2020-03-23,TN,Williamson,4
NO.42677-42680,2020-03-23,TN,Washington,3
NO.42676,2020-03-23,TN,Weakley,1
NO.42675,2020-03-23,TN,Tipton,1
NO.42663-42674,2020-03-23,TN,Sumner,11
NO.42662,2020-03-23,TN,Sullivan,1
NO.42632-42661,2020-03-23,MO,Unassigned,29
NO.42628-42631,2020-03-23,NC,Buncombe,3
NO.42601-42627,2020-03-23,TN,Shelby,26
NO.42600,2020-03-23,TN,Rutherford,1
NO.42597-42599,2020-03-23,TN,Robertson,2
NO.42596,2020-03-23,TN,Perry,1
NO.42595,2020-03-23,TN,McMinn,1
NO.42593-42594,2020-03-23,NC,Iredell,1
NO.42589-42592,2020-03-23,TN,Maury,3
NO.42588,2020-03-23,TN,Lincoln,1
NO.42581-42587,2020-03-23,TN,Knox,6
NO.42580,2020-03-23,TN,Hardin,1
NO.42579,2020-03-23,CO,Mesa,1
NO.42575-42578,2020-03-23,TN,Hamilton,3
NO.42574,2020-03-23,TN,Hamblen,1
NO.42572-42573,2020-03-23,TN,Greene,1
NO.42568-42571,2020-03-23,CA,Tulare,3
NO.42567,2020-03-23,TN,Dickson,1
NO.42566,2020-03-23,TN,Dekalb,1
NO.42557-42565,2020-03-23,WI,Dane,8
NO.42556,2020-03-23,TN,Claiborne,1
NO.42555,2020-03-23,NC,Hertford,1
NO.42554,2020-03-23,TX,Milam,1
NO.42553,2020-03-23,MN,Unknown,1
NO.42426-42552,2020-03-23,CA,Los Angeles,126
Death,2020-03-23,CA,Los Angeles,1
Death,2020-03-23,CA,Los Angeles,1
NO.42425,2020-03-23,MN,Sherburne,1
Death,2020-03-23,IL,Cook,1
Death,2020-03-23,IL,Cook,1
Death,2020-03-23,IL,Cook,1
Death,2020-03-23,CA,Sacramento,1
NO.42390-42424,2020-03-23,CA,Sacramento,34
Death,2020-03-23,IL,Cook,1
NO.42389,2020-03-23,IL,St. Clair,1
Death,2020-03-23,IL,Cook,1
NO.42388,2020-03-23,IL,Monroe,1
NO.42387,2020-03-23,IL,McLean,1
NO.42384-42386,2020-03-23,NC,Pitt,2
NO.42383,2020-03-23,IL,LaSalle,1
NO.42382,2020-03-23,IL,Kankakee,1
NO.42381,2020-03-23,NC,Randolph,1
NO.42380,2020-03-23,IL,Winnebago,1
NO.42379,2020-03-23,NC,Henderson,1
NO.42349-42378,2020-03-23,CA,Orange,29
NO.42322-42348,2020-03-23,IL,Lake,26
NO.42317-42321,2020-03-23,IL,Kane,4
NO.42314-42316,2020-03-23,IL,Will,2
NO.42298-42313,2020-03-23,IL,DuPage,15
NO.42181-42297,2020-03-23,IL,Cook,116
NO.42128-42180,2020-03-23,NV,Unassigned,52
NO.42125-42127,2020-03-23,AR,Unassigned,2
NO.42124,2020-03-23,AR,Lawrence,1
NO.42120-42123,2020-03-23,AR,Pulaski,3
NO.42119,2020-03-23,MS,Leflore,1
NO.42118,2020-03-23,MS,Tallahatchie,1
NO.42117,2020-03-23,MS,Marion,1
NO.42116,2020-03-23,MS,Lamar,1
NO.42115,2020-03-23,MS,Washington,1
NO.42113-42114,2020-03-23,MS,Tippah,1
NO.42112,2020-03-23,MS,Rankin,1
NO.42111,2020-03-23,MS,Pike,1
NO.42109-42110,2020-03-23,MS,Pearl River,1
NO.42048-42108,2020-03-23,IL,Unassigned,60
NO.42045-42047,2020-03-23,MS,Oktibbeha,2
NO.42043-42044,2020-03-23,MS,Madison,1
NO.42041-42042,2020-03-23,MS,Lowndes,1
NO.42039-42040,2020-03-23,MS,Lee,1
NO.42037-42038,2020-03-23,MS,Jackson,1
NO.42023-42036,2020-03-23,OR,Washington,13
NO.42021-42022,2020-03-23,OR,Polk,1
NO.42015-42020,2020-03-23,MS,Harrison,5
NO.42013-42014,2020-03-23,OR,Multnomah,1
NO.42008-42012,2020-03-23,MS,Desoto,4
NO.42000-42007,2020-03-23,OR,Marion,7
NO.41999,2020-03-23,MS,Coahoma,1
NO.41998,2020-03-23,OR,Linn,1
NO.41996-41997,2020-03-23,OR,Clackamas,1
NO.41994-41995,2020-03-23,MS,Chickasaw,1
NO.41993,2020-03-23,MS,Bolivar,1
NO.41992,2020-03-23,MS,Adams,1
NO.41990-41991,2020-03-23,MI,Out of State,1
NO.41985-41989,2020-03-23,MI,Ottawa,4
Death,2020-03-23,MO,St. Louis City,1
NO.41983-41984,2020-03-23,MI,Otsego,1
NO.41981-41982,2020-03-23,KS,Wyandotte,1
NO.41929-41980,2020-03-23,MI,Oakland,51
NO.41928,2020-03-23,KS,Reno,1
NO.41927,2020-03-23,KS,Pottawatomie,1
NO.41925-41926,2020-03-23,WI,Pierce,1
NO.41924,2020-03-23,WI,Douglas,1
NO.41923,2020-03-23,WI,St. Croix,1
NO.41922,2020-03-23,MI,Newaygo,1
NO.41921,2020-03-23,WI,Sauk,1
NO.41920,2020-03-23,WI,Racine,1
NO.41919,2020-03-23,KS,Mitchell,1
NO.41918,2020-03-23,MI,Monroe,1
NO.41917,2020-03-23,KS,Leavenworth,1
NO.41913-41916,2020-03-23,KS,Johnson,3
NO.41912,2020-03-23,MI,Livingston,1
NO.41908-41911,2020-03-23,KS,Douglas,3
NO.41902-41907,2020-03-23,MI,Kent,5
NO.41901,2020-03-23,MI,Ingham,1
NO.41900,2020-03-23,KS,Cherokee,1
NO.41898-41899,2020-03-23,OH,Warren,1
NO.41889-41897,2020-03-23,MI,Genesee,8
NO.41887-41888,2020-03-23,WI,Kenosha,1
NO.41886,2020-03-23,WI,Ozaukee,1
NO.41885,2020-03-23,WI,Washington,1
NO.41884,2020-03-23,WI,Waukesha,1
NO.41882-41883,2020-03-23,WI,Milwaukee,1
NO.41877-41881,2020-03-23,OH,Summit,4
NO.41876,2020-03-23,MI,Calhoun,1
NO.41874-41875,2020-03-23,OH,Stark,1
NO.41873,2020-03-23,OH,Sandusky,1
NO.41871-41872,2020-03-23,MI,Berrien,1
NO.41870,2020-03-23,OH,Portage,1
NO.41866-41869,2020-03-23,UT,Southwest Utah,3
Death,2020-03-23,LA,West Baton Rouge,1
NO.41864-41865,2020-03-23,OH,Montgomery,1
NO.41863,2020-03-23,UT,Cache,1
Death,2020-03-23,LA,Webster,1
NO.41828-41862,2020-03-23,MI,Macomb,34
NO.41824-41827,2020-03-23,OH,Miami,3
NO.41819-41823,2020-03-23,OH,Medina,4
Death,2020-03-23,LA,Washington,1
NO.41812-41818,2020-03-23,CA,Santa Cruz,6
NO.41810-41811,2020-03-23,OH,Marion,1
Death,2020-03-23,LA,Rapides,1
NO.41803-41809,2020-03-23,MI,Washtenaw,6
